Название;Тип;Флаг;MMSI;IMO;Позывной;Размер;GT;Грузоподъёмн.;Макс. скорость;Обновлено;Назначения;РВП;Морской статус;Особый груз;Скорость;Осадка;Курс;Направление;Расположение;Статус;Порт приписки;Судостроит. завод;Классифицировано;Год;Палубы;Материал корпуса;Номер корпуса;Тип корпуса;Производитель;Модель;Номер;Мощность (кВт/л.с.);Об./мин.;Тип двигателя;Ход цилиндра;Диаметр цилиндра;Подруль;Силовая установка;Кол. установок;Адрес;Индекс;Город;Страна;Телефон;Факс;E-Mail;Сайт;Грузоподъёмность;Gross Tonnage;Net Tonnage;Компенсированный GT;Водоизмещение;TPC;Длинна (ОДС);Длинна (ДМП);Ширина;Глубина;Высота;Киповая грузовм.;Зерновая грузовм.;Грузовм. рефрижераторных грузов;Рефрижераторный ДФЭ;ДФЭ;Пассажиры;SWL-устройство;Данные устройства;Тип устройства;Трюмы;Люки;Макс. размер люка;Грузовм. жидких грузов;Система инертного газа;Промывка рез. сырой нефтью;Химический Класс IMO;Насосы;Подача насоса;Резервуары;Классы
Sibirskiy-2131;Diesel;Russian Federation;273312800;8104187;UBEF;130x16 m;3 978 t;4 130 t;10 kn;19 августа, 21:42; ; ;Пришвартовано;Ни одного;(Ø0,4 kn);3,6 m;49,4° ;201°;"36°51'12"" N 53°21'43"" E";In Service;St Petersburg;Rauma;Russian Maritime Register;1982;-;Steel;-;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;-;Fixed Pitch;-;ul Bolshaya Morskaya 37, St Petersburg, 190000;190000;St Petersburg; ;+7 812 380 3100;+7 812 380 3101; ; ;4 130 t;3 978 t;1 194 t;-;-;-;129,5 m;125,8 m;15,8 m;-;-;5 400 m²;-;-;-;-;-;-;Gearless;-;-;-;-;-;-;-;-;-;-;-;-
Sibirskiy-2133;Diesel;Russian Federation;273329300;8211148;UBEH;130x16 m;3 978 t;4 137 t;10 kn;"<span title=""Сегодня, 12:04"">только что</span>"; ; ;На Якоре;Ни одного;(Ø5,8 kn);3,7 m;89,5° ;-;"47°11'18"" N 39°39'18"" E";In Service;St Petersburg;Rauma;Russian Maritime Register;1983;-;Steel;-;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;-;Fixed Pitch;-;ul Bolshaya Morskaya 37, St Petersburg, 190000;190000;St Petersburg; ;+7 812 380 3100;+7 812 380 3101; ; ;4 137 t;3 978 t;1 194 t;-;-;-;129,5 m;125,8 m;15,8 m;-;-;5 400 m²;-;-;-;-;-;-;Gearless;-;-;-;19.70x10.90;-;-;-;-;-;-;-;-
Sibirskiy-2101;Diesel;Russian Federation;273415080;8862284;UFRS;128x15 m;3 409 t;3 172 t;10,5 kn;"<span title=""Сегодня, 12:05"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,5 kn);3,1 m;293,1° ;305°;"39°50'49"" N 53°01'13"" E";In Service;Batumi;Helsinki;Russian Maritime Register;1980;-;Steel;-;-;Dvigatel Revolyutsii;6CHRNP36/45;-;1 324 / 1 800;-;-;-;-;-;Fixed Pitch;-;ul Petrenko 35, Kherson, Ukraine;-;Kherson; ;+380 552 454345;+380 552 325154; ; ;3 172 t;3 409 t;1 021 t;-;-;-;128,4 m;125 m;15,7 m;5,5 m;-;4 700 m²;-;-;-;-;-;-;Gearless;-;-;-;-;-;-;-;-;-;-;-;-
Sibirskiy-2118;Diesel;Russian Federation;273385100;7911507;UBHZ;130x15 m;3 743 t;4 068 t;10,2 kn;18 ноября, 9:10; ; ;Пришвартовано;Ни одного;(Ø2,9 kn);3,5 m;297° ;-;"47°15'33"" N 39°54'11"" E";In Service;Taganrog;Rauma;Russian Maritime Register;1982;-;Steel;-;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;-;Fixed Pitch;-;5th Floor, ul Sovetskaya 63, Rostov-na-Donu;344019;Rostov-na-Donu; ;+7 863 253 7544;+7 863 253 4436; ; ;4 068 t;3 743 t;1 122 t;-;-;-;129,5 m;125,7 m;15,8 m;-;-;5 400 m²;-;-;-;-;-;-;Gearless;-;-;-;-;-;-;-;-;-;-;-;-
Sibirskiy-2129;Diesel;Russian Federation;273327500;8100428;UFDD;128x16 m;3 415 t;3 052 t;11 kn;"<span title=""Сегодня, 12:05"">только что</span>"; ; ;На Ходу;Ни одного;(Ø7,1 kn);3,2 m;67,1° ;-;"37°46'10"" N 52°02'37"" E";In Service;St Petersburg;Turku;Russian Maritime Register;1983;-;Steel;-;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;-;Fixed Pitch;-;ploshchad Markina 15A, Nizhniy Novgorod, 603001;603001;Nizhniy Novgorod; ;+7 831 277 0016;+7 831 277 0022; ; ;3 052 t;3 415 t;1 024 t;-;-;-;128,4 m;125 m;15,7 m;5,5 m;-;4 700 m²;-;-;-;-;-;-;-;-;-;-;18.90x10.90;-;-;-;-;-;-;-;-
Sig;-;Russian Federation;273340190;9735335;UDKP;141x17 m;"<span title=""Сегодня, 12:05"">только что</span>"; ; ;На Якоре;Ни одного;(Ø6,7 kn);3,5 m;-;238°;"45°29'05"" N 36°48'24"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;-;-;-; ;-;-; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Silver Star;Diesel;Azerbaijan;423401100;8857045;4JPO;116x13 m;3 086 t;3 332 t;10 kn;"<span title=""Сегодня, 9:52"">2ч 2мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);4,1 m;206° ;-;"40°20'48"" N 50°04'57"" E";In Service;St Petersburg;Komarno;Russian Maritime Register;1991;-;Steel;2340;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;B-1-160;Fixed Pitch;-;ul Kronshtadtskaya 3, St Petersburg, 198096;198096;St Petersburg; ;+7 812 337 1607;+7 812 320 6062; ; ;3 332 t;3 086 t;999 t;-;-;-;116 m;110,2 m;13,4 m;-;-;-;4 064 m²;-;-;-;-;-;-;-;-;-;24.00x10.13;-;-;-;-;-;-;-;-
Synergy 1;-;Russian Federation;273374360;9777656;UDGG;141x17 m;19 августа, 10:47; ; ;На Ходу;Ни одного;(Ø7,8 kn);3,1 m;41,9° ;-;"44°19'54"" N 48°56'52"" E"
Synergy 2;-;Russian Federation;273375360;9777670;UALW;141x17 m;"<span title=""Сегодня, 12:06"">только что</span>"; ; ;На Ходу;Ни одного;(Ø7,6 kn);3,2 m;319,7° ;323°;"42°08'02"" N 48°49'12"" E"
Skif-V;Diesel;Russian Federation;273336790;8858087;UBRK6;108x14 m;2 068 t;3 060 t;8 kn;"<span title=""Сегодня, 3:22"">9ч назад</span>"; ; ;На Ходу;Ни одного;(Ø5,2 kn);2,5 m;351,6° ;357°;"46°43'13"" N 47°50'43"" E";In Service;-;Krasnoyarsk;-;1984;-;Steel;-;-;-;6NVD48A-2U;-;522 / 710;-;-;-;-;-;Fixed Pitch;-;Office 30, ul Dzerzhinskogo 63;99001;Sevastopol; ;+380 692 487889;+380 692 487889; ; ;3 060 t;2 068 t;757 t;-;-;-;108,4 m;-;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slavyanka;Diesel;Russian Federation;273415410;8869969;UHVR;109x14 m;2 426 t;3 174 t;"<span title=""Сегодня, 12:03"">3мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,1 kn);3,3 m;165° ;-;"45°28'20"" N 36°46'00"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1982;-;Steel;-;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 174 t;2 426 t;966 t;-;-;-;108,4 m;105 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C.M. Kurik;Diesel;Russian Federation;273368880;8944381;UGSX;24x8 m;134 t;161 t;9 kn;20 августа, 16:02; ; ;На Ходу;Ни одного;(Ø0 kn);2,2 m;-;-;"46°17'25"" N 47°58'06"" E";In Service;Leith;Changde, Hunan;Bureau Veritas;1997;-;Steel;-;-;Caterpillar;3412TA;-;1 000 / 1 360;1 800 rpm;-;-;-;-;Fixed Pitch;-;Deshan Jie, Wuling Qu;415002;Changde, Hunan; ;+86 736 775 0632;+86 736 775 1869;-; ;161 t;134 t;40 t;-;-;-;24,8 m;20,2 m;8,5 m;3,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C.M.Heather;Diesel;Russian Federation;273387840;9431927;UGFR;31x9 m;298 t;301 t;11 kn;"<span title=""Сегодня, 12:03"">4мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø1,3 kn);3,5 m;45,2° ;165°;"45°19'54"" N 36°29'14"" E";In Service;Majuro;Sibu;Bureau Veritas;2007;-;Steel;FM-29;-;Cummins;KTA-50-M2;-;2 354 / 3 200;2 050 rpm;-;-;-;-;Fixed Pitch;-;Monahan Road, Cork, Ireland;-;Cork; ;+44 1463 713323;+44 1463 233035; ; ;301 t;298 t;90 t;-;-;-;31,1 m;28,7 m;9,5 m;4,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sovetskaya Rodina;Diesel;Russian Federation;273322500;7636860;UFHV;118x13 m;2 827 t;3 846 t;11,2 kn;"<span title=""Сегодня, 12:03"">4мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø6,3 kn);4,2 m;-;-;"47°07'13"" N 39°24'03"" E";In Service;Taganrog;Viana do Castelo;Russian Maritime Register;1979;-;Steel;-;-;-;6NVD48A-2U;-;1 280 / 1 740;428 rpm;-;-;-;B-1-70;Fixed Pitch;-;Praia Norte, 4900-350 Viana do Castelo;4900-350;Viana do Castelo; ;+351 258 840100;+351 258 840385;-; ;3 846 t;2 827 t;1 231 t;-;-;-;118,8 m;112,5 m;13,2 m;-;-;3 000 m²;-;-;-;-;-;-;-;-;-;-;18.60x9.20;-;-;-;-;-;-;-;-
Somia;Diesel;Iran;422750000;9368015;9BQZ;139x17 m;5 676 t;7 004 t;10,5 kn;"<span title=""Сегодня, 12:04"">3мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,2 kn);4,6 m;94° ;213°;"43°33'51"" N 51°10'55"" E";In Service;Bandar Anzali;Volgograd;Lloyds Register;2008;-;Steel;-;Double Bottom;Wartsila;6L20;-;1 836 / 2 496;1 000 rpm;-;-;-;B-1-200;Fixed Pitch;-;ul Arsenyeva 2, 400112 Volgograd;400112;Volgograd; ;+7 844 268 2507;+7 844 267 4389; ; ;7 004 t;5 676 t;3 334 t;-;-;-;140 m;135,7 m;16,7 m;-;-;-;10 956 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sommers;"
              Дноуглубительное
            ";Russian Federation;273389440;9795701;UBVZ;65x14 m;"<span title=""Сегодня, 12:04"">2мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0,2 kn);4,2 m;-;352°;"59°40'35"" N 28°24'37"" E"
M/V Soren;Diesel;Iran;422869000;9202493;EPAD8;107x17 m;3 185 t;3 850 t;10 kn;20 августа, 18:08; ; ;На Ходу;Ни одного;(Ø4,5 kn);3,1 m;330° ;335°;"43°36'04"" N 48°36'49"" E";In Service;Bandar Anzali;Navashino;Russian Maritime Register;1999;-;Steel;1062;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 766 / 2 402;-;-;-;-;B-1-300;Fixed Pitch;-;Ahmad Ghasir Avenue 3, Arjantin Square;1533663944;Tehran; ;+98 21 87200;+98 21 87201; ; ;3 850 t;3 185 t;1 358 t;-;-;-;107,4 m;103,8 m;16,7 m;5,5 m;-;-;4 720 m²;-;-;-;-;-;Gearless;-;-;-;18.60x12.60;-;-;-;-;-;-;-;-
Sormovo 2;Diesel;Russian Federation;273314800;7945869;UFDH;113x13 m;2 491 t;3 111 t;10,5 kn;"<span title=""Сегодня, 10:42"">1ч 1мин назад</span>"; ; ;На Ходу;Ни одного;(Ø8,8 kn);3,7 m;92,4° ;-;"48°27'11"" N 45°13'22"" E";In Service;Kingstown;Rousse;Russian Maritime Register;1981;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;428 rpm;-;-;-;-;Fixed Pitch;-;Ledra House, 15, Agiou Pavlou Street;-;Nicosia; ;+357 2255 6677;+357 2255 6688; ; ;3 111 t;2 491 t;997 t;-;-;-;114,1 m;110,8 m;13,3 m;5,5 m;-;4 308 m²;4 308 m²;-;-;-;-;-;-;-;-;-;18.60x9.40;-;-;-;-;-;-;-;-
Sormovo 3;Diesel;Russian Federation;273371950;8101422;UBFN6;119x15 m;3 041 t;3 811 t;10,5 kn;"<span title=""Сегодня, 12:04"">3мин назад</span>"; ; ;На Якоре;Ни одного;(Ø9,5 kn);4,3 m;-;158°;"40°55'51"" N 24°28'27"" E";In Service;St Petersburg;Viana do Castelo;Russian Maritime Register;1983;-;Steel;-;-;-;6NVD48A-2U;-;1 280 / 1 740;-;-;-;-;-;Fixed Pitch;-;Praia Norte, 4900-350 Viana do Castelo;4900-350;Viana do Castelo; ;+351 258 840100;+351 258 840385; ; ;3 811 t;3 041 t;1 202 t;-;-;-;119,2 m;112,5 m;13,4 m;-;-;3 000 m²;4 751 m²;-;-;-;-;-;-;-;-;-;18.67x9.16;-;-;-;-;-;-;-;-
Sormovo 1;Diesel;Russian Federation;273315200;7942946;UCWS;114x13 m;2 491 t;3 100 t;10,5 kn;"<span title=""Сегодня, 12:06"">только что</span>"; ; ;На Ходу;Ни одного;(Ø8,4 kn);3,7 m;24° ;-;"39°01'32"" N 52°47'26"" E";In Service;Kingstown;Rousse;Russian Maritime Register;1981;-;Steel;-;-;-;6NVD48A-2U;-;970 / 1 318;-;-;-;-;-;Fixed Pitch;-;Ledra House, 15, Agiou Pavlou Street;-;Nicosia; ;+357 2255 6677;+357 2255 6688; ; ;3 100 t;2 491 t;977 t;-;-;-;114,1 m;110,8 m;13,3 m;5,5 m;-;4 308 m²;4 308 m²;-;-;-;-;-;-;-;-;-;18.60x9.40;-;-;-;-;-;-;-;-
Sormovskiy-3055;Diesel;Russian Federation;273310400;8419611;UAAO;119x13 m;3 041 t;3 804 t;10,5 kn;Вчера, 21:33; ; ;На Ходу;Ни одного;(Ø7,6 kn);4,3 m;270° ;-;"55°43'12"" N 20°24'46"" E";In Service;St Petersburg;Viana do Castelo;Russian Maritime Register;1986;-;Steel;-;-;-;6NVD48A-2U;-;1 280 / 1 740;428 rpm;-;-;-;-;Fixed Pitch;-;Praia Norte, 4900-350 Viana do Castelo;4900-350;Viana do Castelo; ;+351 258 840100;+351 258 840385;-; ;3 804 t;3 041 t;1 273 t;-;-;-;119,2 m;112,1 m;13,4 m;6,1 m;-;3 000 m²;4 751 m²;-;-;-;-;-;-;-;-;-;18.67x9.16;-;-;-;-;-;-;-;-
Sormovskiy-3056;Diesel;Russian Federation;273316200;8419623;UDBT;120x13 m;3 041 t;3 804 t;10,5 kn;"<span title=""Сегодня, 12:06"">только что</span>"; ; ;На Ходу;Ни одного;(Ø6,8 kn);4,3 m;318,7° ;319°;"56°05'32"" N 12°35'43"" E";In Service;St Petersburg;Viana do Castelo;Russian Maritime Register;1986;-;Steel;-;-;-;6NVD48A-2U;-;1 280 / 1 740;428 rpm;-;-;-;-;Fixed Pitch;-;Praia Norte, 4900-350 Viana do Castelo;4900-350;Viana do Castelo; ;+351 258 840100;+351 258 840385;-; ;3 804 t;3 041 t;1 202 t;-;-;-;119,2 m;112,8 m;13,4 m;-;-;3 000 m²;4 751 m²;-;-;-;-;-;-;-;-;-;18.67x9.16;-;-;-;-;-;-;-;-
Sormovskiy-3067;Diesel;Russian Federation;273311900;8704559;UBWC;3 048 t;3 391 t;10,5 kn;19 августа, 9:57; ; ;Пришвартовано;Ни одного;(Ø0,2 kn);4,8 m;-;-;"54°41'52"" N 20°27'17"" E";In Service;St Petersburg;Viana do Castelo;Russian Maritime Register;1990;-;Steel;-;-;-;6NVD48A-2U;-;1 280 / 1 740;375 rpm;-;-;-;-;Fixed Pitch;-;Praia Norte, 4900-350 Viana do Castelo;4900-350;Viana do Castelo; ;+351 258 840100;+351 258 840385;-; ;3 391 t;3 048 t;1 112 t;-;-;-;119,2 m;112,5 m;13,4 m;-;-;3 000 m²;4 751 m²;-;-;-;-;-;-;-;-;-;18.67x9.16;-;-;-;-;-;-;-;-
Sormovskiy 3053;Diesel;Russian Federation;273329500;8222381;UIRT;119x13 m;3 041 t;3 811 t;11,3 kn;"<span title=""Сегодня, 7:56"">4ч 4мин назад</span>"; ; ;На Ходу;Ни одного;(Ø5,2 kn);4,3 m;276,7° ;271°;"47°32'30"" N 40°48'16"" E";In Service;St Petersburg;Viana do Castelo;Russian Maritime Register;1985;-;Steel;-;-;-;6NVD48A-2U;-;1 280 / 1 740;-;-;-;-;B-1-80;Fixed Pitch;-;Praia Norte, 4900-350 Viana do Castelo;4900-350;Viana do Castelo; ;+351 258 840100;+351 258 840385; ; ;3 811 t;3 041 t;1 027 t;-;-;-;119,1 m;112,4 m;13,4 m;6,1 m;-;3 000 m²;4 751 m²;-;-;-;-;-;Gearless;-;-;-;18.67x9.16;-;-;-;-;-;-;-;-
Sormovskiy-3060;Diesel;Russian Federation;273323000;8702214;UISK;118x13 m;2 998 t;3 630 t;10,5 kn;"<span title=""Сегодня, 4:00"">8ч назад</span>"; ; ;На Ходу;Ни одного;(Ø5,3 kn);4,1 m;138° ;-;"59°54'36"" N 30°25'08"" E";In Service;Kaliningrad;Viana do Castelo;Russian Maritime Register;1988;-;Steel;-;-;-;6NVD48A-2U;-;1 280 / 1 740;375 rpm;-;-;-;-;Fixed Pitch;-;Praia Norte, 4900-350 Viana do Castelo;4900-350;Viana do Castelo; ;+351 258 840100;+351 258 840385; ; ;3 630 t;2 998 t;1 138 t;-;-;-;118,7 m;112,5 m;13,4 m;-;-;3 000 m²;4 751 m²;-;-;-;-;-;-;-;-;-;18.67x9.16;-;-;-;-;-;-;-;-
Sormovskiy 3064;Diesel;Russian Federation;273454300;8702252;UIYD;119x13 m;3 048 t;3 630 t;10,5 kn;Вчера, 4:31; ; ;Пришвартовано;Ни одного;(Ø0 kn);4,1 m;134,7° ;-;"53°34'42"" N 0°04'23"" W";In Service;St Petersburg;Viana do Castelo;Russian Maritime Register;1989;-;Steel;-;-;-;6NVD48A-2U;-;1 280 / 1 740;375 rpm;-;-;-;-;Fixed Pitch;-;Praia Norte, 4900-350 Viana do Castelo;4900-350;Viana do Castelo; ;+351 258 840100;+351 258 840385;-; ;3 630 t;3 048 t;1 142 t;-;-;-;118,7 m;112,5 m;13,4 m;-;-;3 000 m²;4 751 m²;-;-;-;-;-;-;-;-;-;18.67x9.16;-;-;-;-;-;-;-;-
Stalingrad;-;Russian Federation;273340640;9690212;UAFH;140x17 m;20 августа, 19:30; ; ;На Ходу;Ни одного;(Ø8,3 kn);3,7 m;177,2° ;178°;"37°23'36"" N 53°28'43"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;ul. Ventseka 1;443099;Samara; ;+7 846 310 6324;+7 846 310 6324; ; ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Staropolye;Diesel;Russian Federation;273314900;8230522;UIDA;114x14 m;2 457 t;3 150 t;11 kn;19 июля, 2:00; ; ;На Ходу;Ни одного;(Ø0 kn);3,6 m;100,5° ;-;"46°12'13"" N 47°55'42"" E";In Service;St Petersburg;Komarno;Russian Maritime Register;1982;-;Steel;1969;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;ul Bolshaya Morskaya 37, St Petersburg, 190000;190000;St Petersburg; ;+7 812 380 3100;+7 812 380 3101; ; ;3 150 t;2 457 t;1 010 t;-;-;-;114 m;110,5 m;13,2 m;5,5 m;-;-;4 720 m²;-;-;-;-;-;-;-;-;-;20.30x11.20;-;-;-;-;-;-;-;-
Stolnyygradyaroslavl;Diesel;Russian Federation;273359050;9572159;UBPG7;39x8 m;343 t;51 t;8 kn;"<span title=""Сегодня, 12:03"">4мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);2,1 m;311,7° ;-;"46°18'09"" N 47°57'44"" E";In Service;-;Yaroslavl;Russian Maritime Register;2010;-;Steel;-;-;Baudouin;8M26SR;-;882 / 1 200;1 800 rpm;-;-;-;-;Controllable Pitch;-;ul Korabelnaya 1, 150006 Yaroslavl;150006;Yaroslavl; ;+7 485 227 7768;+7 485 246 2387; ; ;51 t;343 t;102 t;1 716 t;-;-;38,4 m;36,3 m;7,9 m;3,2 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stream;Diesel;Russian Federation;273380440;8612691;UIHD;320 t;1 000 t;10 kn;16 августа, 9:13; ; ;На Ходу;Ни одного;(Ø0 kn);-;7,2° ;-;"46°19'24"" N 47°58'38"" E";In Service;Aqtau;Harlingen;Bureau Veritas;1987;-;Steel;-;-;-;V180TIH;-;1 323 / 1 800;-;-;-;-;B-1-158;Fixed Pitch;-;Het Nieuwe Diep 39D, 1781 AE Den Helder;1781 AE;Den Helder; ;+31 223 615666;+31 223 614360; ; ;1 000 t;320 t;96 t;-;-;-;40 m;37,5 m;10 m;2,7 m;-;-;-;-;-;-;-;-;C-1-3;Cranes;-;-;-;-;-;-;-;-;-;-;-
Stf Rover;Diesel;Russian Federation;273389100;7911492;UHZI;129x15 m;3 743 t;3 505 t;10,2 kn;17 августа, 5:24; ; ;На Ходу;Ни одного;(Ø7 kn);3,9 m;-;-;"49°13'48"" N 44°57'40"" E";In Service;Taganrog;Rauma;Russian Maritime Register;1981;-;Steel;-;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;-;Fixed Pitch;-;Daire 5, Rifat Bey Apartmani 4;34340;Istanbul; ;+90 212 287 7336;+90 212 287 7334; ; ;3 505 t;3 743 t;1 122 t;-;-;-;129,5 m;125,7 m;15,8 m;-;-;5 400 m²;-;-;-;-;-;-;Gearless;-;-;-;-;-;-;-;-;-;-;-;-
Stf Sprinter;Diesel;Russian Federation;273454310;8104175;UBYH;129x16 m;3 743 t;4 742 t;10,2 kn;"<span title=""Сегодня, 12:06"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø5,1 kn);3,9 m;339° ;-;"47°07'13"" N 39°24'02"" E";In Service;Taganrog;Rauma;Russian Maritime Register;1982;-;Steel;-;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;-;Fixed Pitch;-;Daire 5, Rifat Bey Apartmani 4;34340;Istanbul; ;+90 212 287 7336;+90 212 287 7334; ; ;4 742 t;3 743 t;1 209 t;-;-;-;129,5 m;125,7 m;15,8 m;-;-;5 400 m²;-;-;-;-;-;-;Gearless;-;-;-;-;-;-;-;-;-;-;-;-
Stf Trader;Diesel;Russian Federation;273380200;7811020;UHWQ;130x16 m;3 743 t;4 763 t;10,2 kn;"<span title=""Сегодня, 1:29"">11ч назад</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,9 m;36° ;198°;"36°51'07"" N 53°22'08"" E";In Service;Taganrog;Rauma;Russian Maritime Register;1980;-;Steel;-;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 324 / 1 800;375 rpm;-;-;-;-;Fixed Pitch;-;Daire 5, Rifat Bey Apartmani 4;34340;Istanbul; ;+90 212 287 7336;+90 212 287 7334; ; ;4 763 t;3 743 t;1 209 t;-;-;-;129,5 m;123 m;15,8 m;-;-;5 400 m²;-;-;-;-;-;-;Gearless;-;-;-;-;-;-;-;-;-;-;-;-
Suzdal;Diesel;Russian Federation;273444330;9288992;UFZV;133x17 m;4 378 t;5 600 t;10 kn;"<span title=""Сегодня, 12:07"">только что</span>"; ; ;На Якоре;Ни одного;(Ø5,4 kn);3,7 m;-;195°;"45°11'04"" N 36°30'18"" E";In Service;Astrakhan;Nizhniy Novgorod;Russian Maritime Register;2003;-;Steel;19614/3;Double Hull;Wartsila;6L20;-;1 580 / 2 148;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-; ;5 600 t;4 378 t;1 313 t;-;2 320 t;22 t;141 m;134,9 m;16,9 m;6,1 m;26 m;-;-;-;-;-;-;-;-;-;-;-;-;6 721;-;-;-;U-2-250;-;-;-
Baku Star;Diesel;Belize;312350000;8867040;V3KH2;108x15 m;2 570 t;2 957 t;10 kn;"<span title=""Сегодня, 12:04"">5мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,1 kn);3,3 m;16° ;272°;"36°36'54"" N 36°08'22"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1989;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;2 957 t;2 570 t;967 t;-;-;-;108,4 m;102,5 m;14,8 m;-;-;-;4 315 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sailcountess;Diesel;Russian Federation;273337010;8936798;UBCF4;108x15 m;2 454 t;3 201 t;10,5 kn;13 ноября, 19:07; ; ;На Ходу;Ни одного;(Ø0 kn);3,3 m;-;-;"46°17'22"" N 47°58'02"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1986;-;Steel;-;-;-;8NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;3 201 t;2 454 t;969 t;-;-;-;108,4 m;103,5 m;15 m;-;-;-;4 678 m²;-;-;-;-;-;-;-;-;-;15.60x10.50;-;-;-;-;-;-;-;-
Baku Sky;Diesel;Belize;312380000;8857681;V3JV;108x14 m;2 583 t;2 955 t;10,2 kn;19 августа, 5:32; ; ;На Якоре;Ни одного;(Ø7 kn);3,3 m;46,2° ;-;"46°48'56"" N 33°26'38"" E";In Service;Taganrog;Oltenita;Russian Maritime Register;1989;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;45-46 Portului Street, 915400 Oltenita;915400;Oltenita; ;+40 242 510320;+40 213 111401; ; ;2 955 t;2 583 t;967 t;-;-;-;108,4 m;105 m;15 m;-;-;-;4 315 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Sailrose;Diesel;Russian Federation;273339220;8876170;UBMF8;113x14 m;2 594 t;3 046 t;10 kn;20 сентября, 15:28; ; ;На Якоре;Ни одного;(Ø0,2 kn);3,2 m;-;-;"46°17'24"" N 47°58'02"" E";In Service;Taganrog;Krasnoyarsk;Russian Maritime Register;1989;-;Steel;0001;-;-;6NVDS48A-2U;-;1 030 / 1 400;375 rpm;-;-;-;-;Fixed Pitch;-;pereulok Semashko 3, Rostov-na-Donu, 344002;344002;Rostov-na-Donu; ;+7 863 269 8283;+7 863 269 8483; ; ;3 046 t;2 594 t;859 t;-;-;-;113,3 m;107,3 m;14,8 m;-;-;-;4 370 m²;-;-;-;-;-;C-2-8;Cranes;-;-;15.50x10.90;-;-;-;-;-;-;-;-
